-43	53	10	53	53	46	-21	36
0	0	0	0	0	0	0	0
48	89	38	89	32	67	-60	88
0	0	0	0	0	0	0	0
21	130	82	50	21	10	34	106
0	0	0	0	0	0	0	0
7	-42	-55	72	33	140	-63	12
0	0	0	0	0	0	0	0
13	122	100	-32	39	-32	48	78
0	0	0	0	0	0	0	0
-72	-16	-41	42	25	82	-35	75
0	0	0	0	0	0	0	0
81	73	11	128	-72	117	1	134
0	0	0	0	0	0	0	0
69	86	20	103	51	132	-29	13
0	0	0	0	0	0	0	0
93	-12	-72	151	47	156	-32	19
0	0	0	0	0	0	0	0
220	119	16	137	128	111	25	92
0	0	0	0	0	0	0	0
76	23	97	-49	-49	39	-29	-1
0	0	0	0	0	0	0	0
38	34	7	80	42	83	-51	20
0	0	0	0	0	0	0	0
16	57	48	14	49	130	-48	-40
0	0	0	0	0	0	0	0
-53	19	-6	71	-24	145	-78	33
0	0	0	0	0	0	0	0
37	85	22	43	100	47	18	97
0	0	0	0	0	0	0	0
-39	55	-9	70	91	78	40	87
0	0	0	0	0	0	0	0
108	122	73	-15	118	-15	16	45
0	0	0	0	0	0	0	0
23	57	-10	73	50	55	24	111
0	0	0	0	0	0	0	0
162	124	48	90	107	154	10	119
0	0	0	0	0	0	0	0
161	128	63	67	69	77	65	53
0	0	0	0	0	0	0	0
133	78	8	178	-25	205	-13	56
0	0	0	0	0	0	0	0
24	62	29	42	97	143	-66	61
0	0	0	0	0	0	0	0
81	-7	-15	124	-27	180	-62	47
0	0	0	0	0	0	0	0
105	114	108	-36	111	100	-55	76
0	0	0	0	0	0	0	0
97	56	74	40	18	83	-31	37
0	0	0	0	0	0	0	0
0	-46	-91	136	-54	117	43	-8
0	0	0	0	0	0	0	0
89	63	2	144	36	164	-15	176
0	0	0	0	0	0	0	0
95	-11	-62	133	55	132	-22	14
0	0	0	0	0	0	0	0
41	8	62	-38	-36	51	-39	-45
0	0	0	0	0	0	0	0
6	14	-49	135	-32	121	-6	75
0	0	0	0	0	0	0	0
-40	23	22	46	72	141	-19	-23
0	0	0	0	0	0	0	0
123	117	15	111	63	78	35	124
0	0	0	0	0	0	0	0
9	-1	-30	92	-19	36	49	57
0	0	0	0	0	0	0	0
-9	-29	-83	131	30	98	-50	23
0	0	0	0	0	0	0	0
59	45	16	51	30	72	-65	77
0	0	0	0	0	0	0	0
-8	97	48	24	17	47	78	54
0	0	0	0	0	0	0	0
121	67	97	19	28	97	-102	31
0	0	0	0	0	0	0	0
-5	57	3	-36	120	8	13	102
0	0	0	0	0	0	0	0
44	37	62	-37	-12	100	1	-10
0	0	0	0	0	0	0	0
75	6	60	-46	-68	9	-26	-23
0	0	0	0	0	0	0	0
56	139	91	-38	136	-11	-24	155
0	0	0	0	0	0	0	0
182	165	106	99	114	134	-14	86
0	0	0	0	0	0	0	0
40	46	96	-58	15	13	-79	103
0	0	0	0	0	0	0	0
44	37	-50	127	49	81	76	9
0	0	0	0	0	0	0	0
127	102	89	30	87	78	-3	46
0	0	0	0	0	0	0	0
-23	95	85	9	25	-2	-31	142
0	0	0	0	0	0	0	0
72	87	31	61	119	30	56	41
0	0	0	0	0	0	0	0
103	25	44	-29	58	-36	-9	-19
0	0	0	0	0	0	0	0
149	64	-19	175	100	157	-3	56
0	0	0	0	0	0	0	0
130	84	46	47	37	87	-7	98
0	0	0	0	0	0	0	0
100	102	84	-35	65	34	-47	78
0	0	0	0	0	0	0	0
-7	7	-21	21	14	-3	68	71
0	0	0	0	0	0	0	0
112	120	-8	105	132	8	85	137
0	0	0	0	0	0	0	0
-45	66	17	33	78	50	-21	32
0	0	0	0	0	0	0	0
94	64	68	-13	15	-40	8	42
0	0	0	0	0	0	0	0
39	6	-12	140	-8	175	-56	107
0	0	0	0	0	0	0	0
-25	54	52	-102	60	-113	19	-3
0	0	0	0	0	0	0	0
140	66	35	62	7	-22	52	117
0	0	0	0	0	0	0	0
102	76	1	118	43	61	3	65
0	0	0	0	0	0	0	0
133	88	41	79	127	160	-57	77
0	0	0	0	0	0	0	0
145	91	37	70	79	-17	19	119
0	0	0	0	0	0	0	0
91	64	24	44	0	17	37	21
0	0	0	0	0	0	0	0
81	19	55	-17	-53	68	5	-6
0	0	0	0	0	0	0	0
56	19	-41	90	-4	66	-17	53
0	0	0	0	0	0	0	0
142	40	52	54	41	144	-88	27
0	0	0	0	0	0	0	0
95	99	98	-60	129	9	-15	101
0	0	0	0	0	0	0	0
122	67	40	99	56	106	-81	90
0	0	0	0	0	0	0	0
-15	2	-49	13	66	-97	77	10
0	0	0	0	0	0	0	0
116	79	0	127	10	35	21	114
0	0	0	0	0	0	0	0
123	104	6	94	84	70	44	79
0	0	0	0	0	0	0	0
-39	10	12	48	-19	132	-9	24
0	0	0	0	0	0	0	0
46	-1	-23	84	-8	119	22	-73
0	0	0	0	0	0	0	0
35	-3	0	-6	-9	4	-46	-27
0	0	0	0	0	0	0	0
106	116	93	-9	31	71	43	74
