3	1	-4	0
0	0	0	0
-2	52	-31	41
0	0	0	0
40	-6	45	19
0	0	0	0
39	7	53	19
0	0	0	0
6	-12	-3	-9
0	0	0	0
34	60	15	77
0	0	0	0
65	43	44	98
0	0	0	0
3	-37	13	-33
0	0	0	0
-35	97	-55	57
0	0	0	0
78	-38	80	36
0	0	0	0
-29	27	-75	35
0	0	0	0
45	85	11	115
0	0	0	0
-29	25	-40	8
0	0	0	0
-32	56	-44	20
0	0	0	0
44	0	30	52
0	0	0	0
44	-18	33	29
0	0	0	0
-48	76	-106	52
0	0	0	0
-9	85	-64	88
0	0	0	0
0	100	-46	100
0	0	0	0
84	-14	95	53
0	0	0	0
-70	80	-107	25
0	0	0	0
-55	121	-85	61
0	0	0	0
-68	62	-95	3
0	0	0	0
72	-56	104	0
0	0	0	0
15	27	3	47
0	0	0	0
-3	-53	2	-42
0	0	0	0
-3	39	-24	50
0	0	0	0
-2	2	4	-4
0	0	0	0
80	-18	75	47
0	0	0	0
-27	97	-67	71
0	0	0	0
-2	-2	-22	-8
0	0	0	0
-40	74	-59	29
0	0	0	0
33	-15	27	19
0	0	0	0
5	15	0	20
0	0	0	0
-19	7	-16	-20
0	0	0	0
3	19	-31	43
0	0	0	0
-42	106	-76	60
0	0	0	0
64	-16	40	56
0	0	0	0
37	77	19	93
0	0	0	0
42	72	9	103
0	0	0	0
-50	72	-69	37
0	0	0	0
58	68	31	117
0	0	0	0
-91	121	-127	33
0	0	0	0
36	-14	47	-1
0	0	0	0
12	34	11	45
0	0	0	0
-33	75	-45	41
0	0	0	0
-70	104	-95	29
0	0	0	0
-55	73	-85	23
0	0	0	0
-67	29	-65	-47
0	0	0	0
25	41	19	51
0	0	0	0
92	12	84	98
0	0	0	0
48	-12	42	32
0	0	0	0
28	6	-3	45
0	0	0	0
22	-16	43	-15
0	0	0	0
41	69	33	97
0	0	0	0
56	2	25	65
0	0	0	0
61	-7	61	51
0	0	0	0
25	43	8	68
0	0	0	0
25	19	-4	64
0	0	0	0
58	6	36	50
0	0	0	0
33	43	20	72
0	0	0	0
14	60	-27	77
0	0	0	0
89	-17	74	70
0	0	0	0
-51	7	-64	-46
0	0	0	0
42	28	11	79
0	0	0	0
-32	22	-73	11
0	0	0	0
78	-42	102	22
0	0	0	0
25	-11	41	9
0	0	0	0
54	32	43	79
0	0	0	0
71	-57	69	21
0	0	0	0
33	41	7	65
0	0	0	0
21	47	-8	80
0	0	0	0
-5	43	-7	23
0	0	0	0
-4	86	-59	99
0	0	0	0
-44	62	-59	15
0	0	0	0
-36	64	-58	46
0	0	0	0
28	70	5	89
0	0	0	0
42	84	-9	125
0	0	0	0
-8	44	-14	30
0	0	0	0
3	35	-23	59
0	0	0	0
-2	-24	3	-25
0	0	0	0
79	-61	79	21
0	0	0	0
39	-35	44	2
0	0	0	0
71	-19	52	44
