-706.84	97.982	-82.375	-307.82	107.18	-754.6	239.31	-142.65
-181.91	-412.92	-590.52	9.4587	-555.13	-444.82	-777.52	-781.82
-167.85	451.29	547.57	27.339	271.41	196.55	364.43	483.23
569.91	-694.63	-644.87	-189.17	-45.387	-38.842	-559.86	-382.44
-291.41	-554.49	-746.92	-172.87	-248.62	-809.88	-360.35	-763.01
-891.63	-314.96	-538.12	-168.11	69.85	-1117.1	82.969	-624.91
-26.395	544.03	519.01	-87.075	-44.306	214.97	184.03	516.75
425.22	472.08	479.8	-93.906	-186.93	473.83	147.41	629.98
-310.43	-171.41	-339.69	142.44	-490.47	-388.72	-528.77	-586.51
443.03	-462.01	-260.55	12.914	173.98	254.98	-313.86	-120.57
464.75	652.39	869.62	227.41	461.01	1046.1	698.81	956.23
60.542	-167.49	-14.855	214.44	238.44	213.97	132.27	-78.529
-4.1813	68.662	143.37	264.73	59.903	231.76	219.3	47.606
617.2	491.48	658.54	120.24	189.07	921.81	471.83	846.64
