36	-26
0	0
52	-8
0	0
86	-41
0	0
84	-10
0	0
54	-1
0	0
20	-6
0	0
64	-42
0	0
-28	-22
0	0
-38	-19
0	0
-22	-1
0	0
30	-9
0	0
20	-6
0	0
-16	58
0	0
82	-55
0	0
-48	22
0	0
16	18
0	0
-16	58
0	0
96	-44
0	0
52	-8
0	0
-48	22
0	0
26	15
0	0
50	-15
0	0
-22	37
0	0
-16	58
0	0
-4	-14
0	0
34	5
0	0
86	35
0	0
-8	10
0	0
-4	62
0	0
-24	68
0	0
64	-4
0	0
66	-35
0	0
-24	-8
0	0
-42	43
0	0
10	73
0	0
98	1
0	0
-28	-22
0	0
110	43
0	0
42	-43
0	0
44	-36
0	0
34	5
0	0
22	-37
0	0
42	33
0	0
-14	-11
0	0
86	35
0	0
-12	72
0	0
-8	48
0	0
48	16
0	0
8	-10
0	0
-34	33
0	0
36	12
0	0
-6	-21
0	0
40	-12
0	0
86	35
0	0
64	-4
0	0
-26	-15
0	0
100	-30
0	0
66	-35
0	0
38	57
0	0
32	-2
0	0
100	46
0	0
26	-23
0	0
8	28
0	0
0	38
0	0
-40	12
0	0
88	42
0	0
4	-24
0	0
32	36
0	0
-20	6
0	0
-38	57
0	0
-18	-25
0	0
82	-17
0	0
40	-12
0	0
82	21
0	0
4	14
0	0
-20	82
0	0
46	-29
0	0
28	60
0	0
-30	47
0	0
38	57
0	0
96	-6
0	0
108	36
0	0
82	-55
0	0
28	60
0	0
-4	24
0	0
50	-53
0	0
86	-3
0	0
4	14
0	0
92	-58
0	0
24	46
0	0
92	-58
0	0
-20	44
0	0
92	18
0	0
54	-39
0	0
88	42
0	0
-26	-15
0	0
-2	31
0	0
84	28
0	0
16	56
0	0
-14	65
0	0
52	-8
0	0
-50	15
0	0
88	42
0	0
86	35
0	0
96	32
0	0
68	10
0	0
-44	-2
0	0
112	12
0	0
-32	2
0	0
94	-13
0	0
48	54
0	0
30	-9
0	0
84	28
0	0
-36	-12
0	0
-32	2
0	0
-28	54
0	0
0	-38
0	0
8	66
0	0
120	40
0	0
70	55
0	0
-4	62
0	0
62	-11
0	0
22	-37
0	0
66	3
0	0
32	36
0	0
0	76
0	0
18	25
0	0
14	-27
0	0
-6	17
0	0
20	-44
0	0
28	-16
0	0
90	-27
0	0
74	-45
0	0
24	-30
0	0
66	-35
0	0
72	-14
0	0
98	39
0	0
110	43
0	0
38	19
0	0
30	29
0	0
38	-19
0	0
44	2
0	0
16	18
0	0
-40	12
0	0
20	32
0	0
58	13
0	0
0	-38
0	0
42	-43
0	0
120	40
0	0
74	31
0	0
-8	48
0	0
-24	30
0	0
-8	-28
0	0
2	45
0	0
-26	23
0	0
50	23
0	0
28	22
0	0
-36	-12
0	0
10	35
0	0
-36	64
0	0
44	-36
0	0
-40	12
0	0
80	14
0	0
78	-31
0	0
6	21
0	0
72	-14
0	0
-10	3
0	0
8	-10
0	0
60	20
0	0
28	60
0	0
60	-18
0	0
4	-24
0	0
-34	71
0	0
-38	-19
0	0
86	35
0	0
84	-10
0	0
100	-30
0	0
-40	50
0	0
-16	-18
0	0
24	46
0	0
24	-30
0	0
-34	33
0	0
-14	27
0	0
-2	-7
0	0
-22	-1
0	0
92	18
0	0
50	61
0	0
10	-3
0	0
-16	-18
0	0
68	-28
0	0
96	-6
0	0
76	0
0	0
18	63
0	0
-8	10
0	0
54	-39
0	0
84	-10
0	0
-28	-22
0	0
6	21
0	0
-30	-29
0	0
92	-58
0	0
-28	16
0	0
56	-32
0	0
56	44
0	0
-18	-25
0	0
-8	10
0	0
102	15
0	0
96	32
0	0
2	-31
0	0
112	12
0	0
-30	9
0	0
-24	30
0	0
62	27
0	0
44	-36
0	0
-16	-18
0	0
-46	29
0	0
-10	3
0	0
38	57
0	0
-40	12
0	0
46	9
0	0
72	-52
0	0
52	30
0	0
-40	12
0	0
38	19
0	0
-18	51
0	0
92	-20
0	0
24	8
0	0
24	46
0	0
